Date,Benzene,Toluene,NO,NO2,NOx,PM2.5,PM10,RH,WS,WD,Ozone
01-01-2016 00:00,3.11,6.98,372.96,135.81,619.65,360.81,750.91,53.72,0.55,188.51,14.74
02-01-2016 00:00,1.77,2.60,161.81,111.45,320.25,327.92,616.04,50.82,0.81,198.27,18.88
03-01-2016 00:00,2.22,3.54,335.01,129.56,565.62,341.32,651.71,55.87,0.96,251.82,15.67
04-01-2016 00:00,4.58,11.36,463.67,149.34,764.87,480.07,692.40,55.63,0.77,160.64,30.63
05-01-2016 00:00,3.21,11.44,308.38,136.74,542.97,433.35,847.84,55.46,0.95,144.11,32.07
06-01-2016 00:00,2.48,6.56,237.95,114.73,427.65,371.80,736.17,60.19,1.19,125.88,29.24
07-01-2016 00:00,2.95,7.48,248.53,112.20,439.37,468.02,743.11,65.44,0.63,157.13,27.80
08-01-2016 00:00,2.28,3.87,210.46,95.40,372.32,519.59,727.23,67.18,1.11,237.73,12.01
09-01-2016 00:00,0.73,0.88,152.07,85.53,283.75,169.49,480.58,52.49,1.86,277.08,14.09
10-01-2016 00:00,1.28,0.96,266.47,108.87,460.90,281.57,520.17,57.44,0.95,209.68,15.28
11-01-2016 00:00,1.81,6.17,402.66,125.43,660.79,413.43,681.95,59.57,0.62,182.47,46.76
12-01-2016 00:00,1.33,5.92,167.02,93.23,311.15,286.47,565.30,58.90,1.60,97.37,28.45
13-01-2016 00:00,0.78,1.37,63.01,81.97,159.11,313.12,510.53,63.89,1.76,167.47,14.99
14-01-2016 00:00,0.58,0.61,98.32,69.38,196.07,259.66,479.88,70.58,0.95,246.92,10.68
15-01-2016 00:00,0.40,0.60,98.97,59.21,187.85,182.75,345.29,70.73,1.31,280.16,10.86
16-01-2016 00:00,0.30,0.45,76.11,60.58,157.91,143.24,298.58,65.19,1.68,281.50,13.60
17-01-2016 00:00,0.56,0.65,81.00,69.04,172.13,200.17,387.12,61.20,1.15,151.00,15.08
18-01-2016 00:00,1.30,1.73,297.95,98.40,494.56,338.49,667.74,65.16,0.55,197.60,14.04
19-01-2016 00:00,0.71,0.86,105.45,67.53,203.96,322.07,566.42,76.73,0.70,241.41,9.67
20-01-2016 00:00,0.42,0.58,89.45,73.97,188.10,307.60,534.76,71.41,0.97,240.90,10.60
21-01-2016 00:00,0.50,0.60,85.09,69.92,178.48,234.43,422.13,65.68,1.18,230.72,11.65
22-01-2016 00:00,10.11,17.33,66.82,73.79,157.00,301.62,467.76,71.68,1.34,118.56,13.47
23-01-2016 00:00,37.35,105.70,120.91,68.23,225.91,361.85,551.53,67.47,1.03,131.08,15.65
24-01-2016 00:00,39.61,59.48,120.91,68.23,225.91,388.78,585.28,74.05,0.81,235.00,10.72
25-01-2016 00:00,31.00,54.30,87.99,111.58,219.59,276.25,509.35,64.42,1.01,225.68,10.79
