,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,
State,Cities,"SO2","NO2","PM10","SO2","NO2","PM10","SO2","NO2","PM10","SO2","NO2","PM10","SO2","NO2","PM10",SO2,NO2,PM10,SO2,NO2,PM10,SO2,NO2,PM10
Delhi,Delhi,5,57,222,5,59,237,4,66,221,5,61,217,5,65,220,7,66,278,7,68,241,5,78,225
,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,Bagalkote,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,Bangalore,16,29,94,14,28,121,13,26,113,13,30,139,6,20,119,,,,,,,,,
Karnataka,Belgaum,2,14,41,2,19,72,2,19,74,2,9,76,2,15,64,,,,,,,,,
Karnataka,Bidar,,,,,,,6,13,67,6,14,62,6,13,59,,,,,,,,,
Karnataka,Bijapur,,,,,,,,,,2,16,150,2,16,99,,,,,,,,,
Karnataka,Chitradurga,,,,,,,3,6,29,3,5,38,3,5,47,,,,,,,,,
Karnataka,Devanagere,10,16,67,5,10,75,5,8,92,4,7,85,4,8,109,,,,,,,,,
Karnataka,Gulburga,4,12,63,3,11,65,3,14,88,5,12,77,3,22,95,,,,,,,,,
Karnataka,Hassan,5,24,46,5,17,36,5,18,26,6,19,25,6,19,25,,,,,,,,,
Karnataka,Hubli-Dharwad,7,13,73,5,14,77,6,15,96,5,18,90,6,22,75,,,,,,,,,
Karnataka,Karwar,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,Kolar,,,,,,,6,14,47,6,12,67,6,15,75,,,,,,,,,
Karnataka,Mandya,11,22,43,10,24,49,11,23,43,11,22,43,10,22,42,,,,,,,,,
Karnataka,Mangalore,7,8,55,6,7,31,8,7,32,8,7,32,7,7,36,,,,,,,,,
Karnataka,Mysore,12,22,48,11,23,56,11,23,60,12,23,56,11,23,48,,,,,,,,,
Karnataka,Raichur,,,,,,,9,13,79,9,13,112,6,10,92,,,,,,,,,
Karnataka,Shimaga,,,,,,,5,8,51,5,8,42,3,6,36,,,,,,,,,
Karnataka,Timukuru,,,,,,,,,,11,34,117,5,22,134,,,,,,,,,
Karnataka Average,,8.222222222,17.77777778,58.88888889,6.777777778,17,64.66666667,6.642857143,14.78571429,64.07142857,6.75,15.5625,75.6875,5.375,15.3125,72.1875,3,21,80,3,20,78,3,20,72
Maharashtra,Akola,8,10,137,9,10,139,7,8,133,8,9,135,7,8,128,,,,,,,,,
Maharashtra,Amravati,11,13,100,11,13,100,11,13,90,12,13,107,12,13,108,,,,,,,,,
Maharashtra,Aurangabad,9,31,83,9,32,80,10,37,84,12,39,85,13,40,83,,,,,,,,,
Maharashtra,Badlapur,39,63,105,6,86,124,25,46,84,40,58,122,21,55,105,,,,,,,,,
